Date,Open,High,Low,Close,Adj Close,Volume
2021-06-14,38.704521,41.758675,31.362095,35.322014,35.322014,3218340758
2021-06-21,35.261436,35.497616,20.380444,31.929392,31.929392,5461125828
2021-06-28,31.880831,35.954723,31.035128,34.310600,34.310600,3061855167
2021-07-05,34.282551,38.011703,31.186785,32.177841,32.177841,2532046374
2021-07-12,32.173389,32.644054,26.040670,26.751909,26.751909,1975413364
2021-07-19,26.671240,29.507799,22.177542,28.168774,28.168774,2766706590
2021-07-26,28.227026,36.868259,27.005430,34.254360,34.254360,3578603860
2021-08-02,34.190563,40.505878,32.402660,37.673824,37.673824,3373564657
2021-08-09,37.660496,54.629551,36.481171,53.745159,53.745159,4219714541
2021-08-16,53.541149,81.813774,52.465851,72.803917,72.803917,19144376263
2021-08-23,72.769409,97.842949,66.222763,94.469673,94.469673,15464450096
2021-08-30,94.344872,150.428558,94.037720,142.070877,142.070877,36407556592
2021-09-06,142.062820,214.957184,133.100250,174.537628,174.537628,64173767130
2021-09-13,174.418457,174.931870,135.245224,152.516693,152.516693,32802672190
2021-09-20,152.794479,153.387665,116.343201,135.699371,135.699371,27772696362
2021-09-27,135.931366,176.970337,128.244827,172.589157,172.589157,20970997755
2021-10-04,172.961624,172.961624,146.898239,148.048706,148.048706,17349865477
2021-10-11,147.800446,167.425995,137.811569,159.743805,159.743805,16430045322
2021-10-18,159.997482,214.044449,153.221008,202.361984,202.361984,27434452563
2021-10-25,202.316483,218.731888,178.730865,202.421021,202.421021,22826509123
2021-11-01,202.629211,260.062103,198.238968,249.823486,249.823486,25890467435
2021-11-08,249.979263,253.254181,218.388550,238.425522,238.425522,19780441207
2021-11-15,238.731400,245.976105,187.673126,231.282623,231.282623,20937992239
2021-11-22,230.989639,231.904816,182.372452,200.676651,200.676651,17320192903
2021-11-29,200.821274,243.111664,171.553574,196.168259,196.168259,26018953137
2021-12-06,196.547485,204.118500,161.860001,173.431671,173.431671,15689250299
2021-12-13,173.099930,173.099930,148.571823,155.213058,155.213058,2547597256
