Brazil,Serie A,2024,28/04/2024,22:30,Fortaleza,Bragantino,1,1,D,2.26,3.23,3.56,2.3,3.4,3.6,2.2,3.18,3.38,,,
Brazil,Serie A,2024,28/04/2024,22:30,Juventude,Athletico-PR,1,1,D,3.02,2.95,2.76,3.06,3.2,2.76,2.91,2.97,2.62,,,
Brazil,Serie A,2024,29/04/2024,0:00,Internacional,Atletico GO,1,1,D,1.57,3.83,7.23,1.58,4.1,7.32,1.53,3.79,6.63,,,
Brazil,Serie A,2024,30/04/2024,0:00,Sao Paulo,Palmeiras,0,0,D,2.65,2.98,3.12,2.77,3.05,3.15,2.61,2.92,2.98,,,
Brazil,Serie A,2024,4/5/2024,20:00,Fluminense,Atletico-MG,2,2,D,3.73,3.33,2.15,3.73,3.37,2.26,3.44,3.24,2.16,,,
Brazil,Serie A,2024,4/5/2024,22:30,Bragantino,Flamengo RJ,1,1,D,2.82,3.17,2.75,2.9,3.25,2.75,2.8,3.11,2.6,,,
Brazil,Serie A,2024,5/5/2024,1:00,Corinthians,Fortaleza,0,0,D,2.15,3.13,4,2.21,3.3,4.1,2.13,3.06,3.78,,,
Brazil,Serie A,2024,5/5/2024,20:00,Athletico-PR,Vasco,1,0,H,1.68,3.83,5.51,1.7,4.05,5.6,1.66,3.73,5.22,,,
Brazil,Serie A,2024,5/5/2024,20:00,Vitoria,Sao Paulo,1,3,A,3.85,3.05,2.24,3.85,3.25,2.25,3.66,3.04,2.18,,,
Brazil,Serie A,2024,5/5/2024,22:30,Botafogo RJ,Bahia,1,2,A,2.15,3.55,3.5,2.19,3.63,3.5,2.11,3.48,3.34,,,
Brazil,Serie A,2024,5/5/2024,22:30,Cuiaba,Palmeiras,0,2,A,5.29,3.15,1.89,5.6,3.45,1.91,4.99,3.18,1.83,,,
Brazil,Serie A,2024,11/5/2024,20:00,Flamengo RJ,Corinthians,2,0,H,1.6,3.91,6.43,1.65,4.2,6.5,1.59,3.8,6.03,,,
Brazil,Serie A,2024,12/5/2024,20:00,Atletico GO,Cruzeiro,0,1,A,3.14,3.17,2.51,3.14,3.3,2.8,2.98,3.11,2.48,,,
Brazil,Serie A,2024,12/5/2024,20:00,Fortaleza,Botafogo RJ,1,1,D,1.98,3.46,4.15,2.11,3.5,4.28,1.96,3.38,3.97,,,
Brazil,Serie A,2024,12/5/2024,20:00,Palmeiras,Athletico-PR,0,2,A,1.71,3.79,5.26,1.75,3.86,5.26,1.7,3.67,4.96,,,
Brazil,Serie A,2024,12/5/2024,22:30,Bahia,Bragantino,1,0,H,1.81,3.77,4.51,1.92,3.87,4.65,1.79,3.7,4.33,,,
Brazil,Serie A,2024,12/5/2024,22:30,Vasco,Vitoria,2,1,H,1.76,3.65,5.18,1.79,3.74,5.18,1.73,3.6,4.89,,,
Brazil,Serie A,2024,14/05/2024,0:00,Sao Paulo,Fluminense,2,1,H,1.72,3.66,5.45,1.75,3.75,5.5,1.69,3.6,5.15,,,
Brazil,Serie A,2024,1/6/2024,20:00,Gremio,Bragantino,0,2,A,3.32,3.24,2.36,3.33,3.24,2.45,3.17,3.15,2.34,,,
Brazil,Serie A,2024,1/6/2024,20:00,Vitoria,Atletico GO,0,2,A,2.24,3.18,3.66,2.31,3.3,3.7,2.2,3.12,3.51,,,
Brazil,Serie A,2024,1/6/2024,22:30,Cuiaba,Internacional,0,1,A,3.87,3.04,2.24,3.9,3.14,2.32,3.67,2.97,2.21,,,
Brazil,Serie A,2024,1/6/2024,22:30,Fluminense,Juventude,1,1,D,1.59,4.11,6.04,1.6,4.32,6.2,1.56,4.04,5.8,,,
Brazil,Serie A,2024,2/6/2024,1:00,Corinthians,Botafogo RJ,0,1,A,2.15,3.33,3.73,2.22,3.35,3.85,2.14,3.23,3.51,,,
Brazil,Serie A,2024,2/6/2024,20:00,Atletico-MG,Bahia,1,1,D,1.81,3.71,4.7,1.84,3.8,5,1.77,3.63,4.49,,,
Brazil,Serie A,2024,2/6/2024,20:00,Criciuma,Palmeiras,1,2,A,4.89,3.38,1.87,4.98,3.39,1.95,4.61,3.28,1.86,,,
Brazil,Serie A,2024,2/6/2024,20:00,Vasco,Flamengo RJ,1,6,A,5.12,3.89,1.71,5.23,3.97,1.78,4.89,3.75,1.69,,,
Brazil,Serie A,2024,2/6/2024,22:30,Fortaleza,Athletico-PR,1,0,H,1.96,3.37,4.38,2.04,3.45,4.4,1.93,3.3,4.17,,,
Brazil,Serie A,2024,2/6/2024,22:30,Sao Paulo,Cruzeiro,2,0,H,1.97,3.27,4.52,1.98,3.36,4.85,1.94,3.17,4.34,,,
Brazil,Serie A,2024,5/6/2024,23:00,Juventude,Atletico GO,1,0,H,2.41,2.96,3.57,2.47,3.08,3.57,2.37,2.93,3.36,,,
Brazil,Serie A,2024,6/6/2024,0:00,Cuiaba,Vitoria,0,0,D,2.23,2.98,4.01,2.25,3.05,4.01,2.18,2.95,3.8,,,
Brazil,Serie A,2024,9/6/2024,20:00,Criciuma,Cuiaba,2,5,A,2.15,3.13,3.87,2.2,3.26,4,2.13,3.06,3.76,,,
Brazil,Serie A,2024,11/6/2024,23:00,Atletico GO,Corinthians,2,2,D,2.6,3.06,3.04,2.7,3.23,3.06,2.59,3.02,2.91,,,
Brazil,Serie A,2024,11/6/2024,23:00,Juventude,Vitoria,1,1,D,2.01,3.15,4.39,2.04,3.25,4.62,1.97,3.14,4.25,,,
Brazil,Serie A,2024,12/6/2024,0:00,Botafogo RJ,Fluminense,1,0,H,2,3.26,4.25,2.05,3.4,4.33,1.96,3.29,4.06,,,
Brazil,Serie A,2024,12/6/2024,1:30,Bragantino,Atletico-MG,1,2,A,2.3,3.17,3.43,2.36,3.26,3.47,2.29,3.12,3.27,,,
Brazil,Serie A,2024,13/06/2024,23:00,Cruzeiro,Cuiaba,2,1,H,1.6,3.75,6.78,1.62,3.9,7,1.58,3.65,6.56,,,
Brazil,Serie A,2024,14/06/2024,0:00,Athletico-PR,Criciuma,3,1,H,1.5,4.37,7.09,1.51,4.4,7.5,1.47,4.23,6.85,,,
Brazil,Serie A,2024,14/06/2024,0:00,Flamengo RJ,Gremio,2,1,H,1.57,4.01,6.56,1.6,4.1,6.56,1.56,3.93,6.11,,,
Brazil,Serie A,2024,14/06/2024,0:00,Internacional,Sao Paulo,0,0,D,2.4,3.09,3.42,2.6,3.1,3.42,2.38,2.99,3.28,,,
Brazil,Serie A,2024,14/06/2024,1:30,Bahia,Fortaleza,1,0,H,1.92,3.69,4.12,2.05,3.76,4.5,1.85,3.58,4.17,,,
