Brazil,Serie A,2023,7/5/2023,20:00,Sao Paulo,Internacional,2,0,H,2.05,3.47,3.95,2.13,3.55,3.95,2.05,3.36,3.66
Brazil,Serie A,2023,7/5/2023,22:30,Botafogo RJ,Atletico-MG,2,0,H,3.72,3.33,2.18,3.72,3.45,2.28,3.5,3.22,2.15
Brazil,Serie A,2023,7/5/2023,22:30,Goias,Palmeiras,0,5,A,5.53,3.99,1.67,6,4.09,1.77,5.13,3.81,1.66
Brazil,Serie A,2023,7/5/2023,22:30,Gremio,Bragantino,3,3,D,1.91,3.6,4.41,2,3.6,4.5,1.9,3.47,4.05
Brazil,Serie A,2023,9/5/2023,0:00,Corinthians,Fortaleza,1,1,D,2.66,3.1,3.05,2.69,3.28,3.26,2.55,3.06,2.93
Brazil,Serie A,2023,10/5/2023,23:00,Bragantino,America MG,2,2,D,1.83,3.77,4.62,1.9,3.85,4.83,1.8,3.67,4.36
Brazil,Serie A,2023,10/5/2023,23:00,Internacional,Athletico-PR,0,2,A,1.82,3.61,4.93,1.88,3.61,5.13,1.8,3.48,4.62
Brazil,Serie A,2023,10/5/2023,23:00,Santos,Bahia,3,0,H,2.3,3.14,3.65,2.38,3.25,3.65,2.26,3.08,3.41
Brazil,Serie A,2023,11/5/2023,0:00,Cuiaba,Atletico-MG,0,4,A,3.86,3.3,2.15,4.03,3.33,2.29,3.63,3.19,2.13
Brazil,Serie A,2023,11/5/2023,0:00,Flamengo RJ,Goias,2,0,H,1.25,6.22,12.58,1.28,6.5,13,1.24,5.98,11.65
Brazil,Serie A,2023,11/5/2023,1:30,Cruzeiro,Fluminense,0,2,A,2.74,3.21,2.85,2.8,3.35,2.9,2.62,3.15,2.76
Brazil,Serie A,2023,11/5/2023,1:30,Palmeiras,Gremio,4,1,H,1.41,4.71,8.65,1.44,4.9,9,1.39,4.64,7.92
Brazil,Serie A,2023,11/5/2023,23:00,Coritiba,Vasco,1,1,D,3.49,3.17,2.46,3.56,3.3,2.62,3.28,3.09,2.34
Brazil,Serie A,2023,11/5/2023,23:30,Botafogo RJ,Corinthians,3,0,H,1.95,3.47,4.56,1.98,3.6,4.8,1.86,3.41,4.34
Brazil,Serie A,2023,12/5/2023,0:00,Fortaleza,Sao Paulo,0,0,D,2,3.42,4.24,2.04,3.58,4.4,1.95,3.37,4.01
Brazil,Serie A,2023,13/05/2023,20:00,Bahia,Flamengo RJ,2,3,A,3.15,3.46,2.38,3.2,3.55,2.4,3.05,3.37,2.3
Brazil,Serie A,2023,13/05/2023,22:30,Fluminense,Cuiaba,2,0,H,1.4,4.76,8.03,1.44,5.21,8.17,1.4,4.63,7.53
Brazil,Serie A,2023,13/05/2023,22:30,Palmeiras,Bragantino,1,1,D,1.6,4.2,5.91,1.61,4.42,6.25,1.56,4.11,5.64
Brazil,Serie A,2023,14/05/2023,1:00,Atletico-MG,Internacional,2,0,H,1.56,3.92,6.56,1.64,4.25,6.8,1.56,3.89,6.1
Brazil,Serie A,2023,14/05/2023,20:00,Corinthians,Sao Paulo,1,1,D,2.57,3.02,3.25,2.61,3.15,3.25,2.49,2.99,3.08
Brazil,Serie A,2023,14/05/2023,20:00,Gremio,Fortaleza,0,0,D,1.9,3.64,4.38,2.17,3.71,4.4,1.89,3.54,4.03
Brazil,Serie A,2023,14/05/2023,20:00,Vasco,Santos,0,1,A,1.93,3.33,4.73,2.02,3.43,4.8,1.9,3.22,4.47
Brazil,Serie A,2023,14/05/2023,22:30,America MG,Cruzeiro,0,4,A,2.56,3.47,2.87,2.6,3.5,3.02,2.49,3.34,2.78
Brazil,Serie A,2023,14/05/2023,22:30,Athletico-PR,Coritiba,3,2,H,1.63,3.83,6.41,1.66,3.9,7.51,1.61,3.67,6.1
Brazil,Serie A,2023,14/05/2023,22:30,Goias,Botafogo RJ,2,1,H,3.27,3.29,2.4,3.56,3.36,2.4,3.11,3.26,2.32
Brazil,Serie A,2023,20/05/2023,20:00,Bahia,Goias,1,1,D,1.71,3.76,5.54,1.75,3.82,5.6,1.7,3.66,5.09
Brazil,Serie A,2023,20/05/2023,22:30,America MG,Fortaleza,2,1,H,3.05,3.39,2.47,3.17,3.5,2.88,2.87,3.32,2.44
Brazil,Serie A,2023,20/05/2023,22:30,Botafogo RJ,Fluminense,1,0,H,2.77,3.32,2.74,2.97,3.45,2.74,2.7,3.25,2.62
Brazil,Serie A,2023,20/05/2023,22:30,Bragantino,Athletico-PR,2,0,H,1.85,3.64,4.63,1.97,3.72,4.63,1.83,3.57,4.26
Brazil,Serie A,2023,20/05/2023,22:30,Coritiba,Atletico-MG,1,2,A,4.83,3.45,1.88,4.9,3.55,1.9,4.6,3.36,1.83
Brazil,Serie A,2023,20/05/2023,22:30,Sao Paulo,Vasco,4,2,H,1.87,3.44,4.88,1.9,3.58,4.9,1.84,3.38,4.51
Brazil,Serie A,2023,21/05/2023,1:00,Santos,Palmeiras,0,0,D,5.45,3.63,1.75,5.69,3.72,1.92,5.1,3.53,1.73
Brazil,Serie A,2023,21/05/2023,20:00,Flamengo RJ,Corinthians,1,0,H,1.43,4.45,9.02,1.47,4.9,9.3,1.41,4.4,8.09
